City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Kavaratti,IN,82.26,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
438,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
440,Ambulu,ID,84.72,clear sky,-8.345,113.6058,Hotel Ambulu Jember
441,Waddan,LY,80.78,clear sky,29.1614,16.139,محل الشريف محمد العايب
448,Whyalla,AU,82.29,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
450,Manaus,BR,79.3,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
453,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
457,Yurimaguas,PE,77.83,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
474,Madang,PG,88.2,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
477,Auki,SB,81.36,light rain,-8.7676,160.7034,Auki Motel
479,Biltine,TD,82.18,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
487,Vao,NC,78.82,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
492,Gigmoto,PH,81.28,overcast clouds,13.7796,124.39,Cj's Travellers Inn
494,Katobu,ID,87.21,overcast clouds,-4.9408,122.5276,La Ode Husein
495,Kharhial,IN,89.78,few clouds,20.2833,82.7667,Jeevan Chhaya
498,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
499,Waw,SS,77.54,scattered clouds,7.7029,27.9953,Universal Gab Hotel
504,Curup,ID,83.17,few clouds,-3.4667,102.5333,Ayi The Costel
507,San Pedro,PH,79.83,light rain,14.35,121.0167,Esquivel's Garden And Resort
510,Tecoanapa,MX,76.96,clear sky,16.5167,-98.75,Hotel Manglares
511,Nizwa,OM,75.74,clear sky,22.9333,57.5333,Orient Apartments
514,Sarai Sidhu,PK,85.21,few clouds,30.5949,71.9698,Al Ghani Villas
516,Pundaguitan,PH,82.24,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
521,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,Isawad Resort
524,Port-Gentil,GA,80.22,overcast clouds,-0.7193,8.7815,Fengshui Residence
525,Winneba,GH,80.19,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
529,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
531,Manaure,CO,79.9,overcast clouds,11.7751,-72.4445,Hotel Palaaima
537,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
538,Limon,CR,77.76,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
539,Thiruvananthapuram,IN,80.58,haze,8.4833,76.9167,Hotel Residency Tower
542,Atambua,ID,82.81,few clouds,-9.1061,124.8925,Kost Alfa Flat
547,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
548,Marakkanam,IN,84.54,broken clouds,12.2,79.95,Samvasa by the Sea
553,Acu,BR,76.23,overcast clouds,-5.5767,-36.9086,Hotel Oásis
556,Porto Seguro,BR,75.72,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
564,Bima,ID,88.23,scattered clouds,-8.4667,118.7167,Lambitu Hotel
566,Moree,AU,84.22,broken clouds,-29.4667,149.85,Molika Springs Motel
567,Sidney,AU,81.59,clear sky,-33.8679,151.2073,The Grace Sydney
569,Ballina,AU,83.01,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
571,Vanimo,PG,85.35,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
575,Polewali,ID,86.14,broken clouds,-3.4324,119.3435,Lilianto Hotel
580,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
581,Pokhara,NP,82.09,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
584,Labuhan,ID,84.34,few clouds,-6.8844,112.2051,DoubleFAG
