City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Navoi,UZ,2022-04-02 22:05:18,40.0844,65.3792,53.08,62,0,11.5
139,Shenzhen,CN,2022-04-02 22:01:32,22.5455,114.0683,62.15,72,91,8.93
140,Pathein,MM,2022-04-02 22:05:19,16.7833,94.7333,74.66,94,80,3.87
141,Vao,NC,2022-04-02 22:05:19,-22.6667,167.4833,79.11,87,84,19.53
142,Sept-Iles,CA,2022-04-02 22:02:44,50.2001,-66.3821,37.06,67,56,10.0
143,Yellowknife,CA,2022-04-02 22:00:25,62.456,-114.3525,10.42,52,100,3.0
144,Namatanai,PG,2022-04-02 22:05:20,-3.6667,152.4333,78.49,88,100,9.98
145,Port Elizabeth,ZA,2022-04-02 21:57:28,-33.918,25.5701,63.1,97,100,1.01
146,Svetlogorsk,BY,2022-04-02 22:05:20,52.6333,29.7333,32.02,97,100,12.06
147,Georgetown,MY,2022-04-02 22:04:15,5.4112,100.3354,76.95,88,20,0.0
148,Uniao,BR,2022-04-02 22:05:21,-4.5858,-42.8642,75.83,95,96,2.68
149,Puerto Escondido,MX,2022-04-02 22:05:21,15.85,-97.0667,86.83,74,0,10.36
150,Mabaruma,GY,2022-04-02 22:05:22,8.2,-59.7833,74.07,95,84,6.17
151,Ust-Omchug,RU,2022-04-02 22:05:22,61.15,149.6333,3.83,81,100,2.57
152,Isangel,VU,2022-04-02 22:05:23,-19.55,169.2667,82.24,82,100,8.19
153,Castelo Do Piaui,BR,2022-04-02 22:05:23,-5.3222,-41.5525,73.72,93,93,3.51
154,Thompson,CA,2022-04-02 22:02:07,55.7435,-97.8558,27.37,76,100,4.56
155,Hilo,US,2022-04-02 22:00:26,19.7297,-155.09,77.25,81,100,3.44
156,Gizo,SB,2022-04-02 22:05:24,-8.103,156.8419,80.98,80,98,6.82
157,Bisira,PA,2022-04-02 22:05:24,8.5196,-81.7115,71.58,53,74,4.56
158,Hinton,CA,2022-04-02 22:01:32,53.4001,-117.5857,40.91,61,99,5.41
159,Rawlins,US,2022-04-02 22:03:44,41.7911,-107.2387,60.69,16,0,31.07
160,Khamamatyurt,RU,2022-04-02 22:05:25,43.6081,46.5006,52.61,59,69,0.98
161,Poum,NC,2022-04-02 22:05:25,-20.2333,164.0167,81.95,80,100,5.03
162,Bonavista,CA,2022-04-02 22:04:24,48.6499,-53.1147,34.81,84,98,24.4
163,Kysyl-Syr,RU,2022-04-02 22:05:25,63.8986,122.7617,14.16,96,100,3.06
164,Khatanga,RU,2022-04-02 22:05:26,71.9667,102.5,-1.84,98,100,7.58
165,Ixtapa,MX,2022-04-02 22:05:27,20.7,-105.2,76.23,65,40,13.8
166,Jalalabad,AF,2022-04-02 22:05:27,34.4265,70.4515,70.41,22,20,4.56
